main_position,player_id,player_name,team,team_id,minutes_played,interceptions_per90,ball_recoveries_per90,pressures_per90,chances_created_per90,progressive_passes_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,duel_success_rate,rating
Left Defensive Midfield,30911,Robert Gucher,Frosinone,291,1398,41.74757281553398,38.86986301369863,46.23024830699774,52.86885245901639,37.14580113343637,61.20000000000001,27.27272727272727,0.0,0.0,77.25070649979816,47.4535454167082
Left Defensive Midfield,31572,Luca Marrone,Hellas Verona,226,1785,16.019417475728154,37.50000000000001,44.92099322799097,47.131147540983605,26.738794435857805,24.8,43.560606060606055,23.80952380952381,34.883720930232556,69.17642309245056,37.438143999932954
Center Defensive Midfield,32119,Leandro Greco,Hellas Verona,226,2061,21.35922330097087,31.506849315068493,54.53724604966139,33.196721311475414,24.42040185471406,28.800000000000004,57.954545454545446,19.04761904761905,0.0,36.61687525232136,33.043893787113305
Right Defensive Midfield,33311,Ogenyi Eddy Onazi,Lazio,236,1310,31.553398058252423,45.034246575342465,62.52821670428893,25.409836065573778,26.275115919629062,25.6,30.681818181818183,28.57142857142857,13.953488372093023,52.13968510294712,40.95603575774522
Center Defensive Midfield,40351,Alessandro Gazzi,Torino,241,1039,83.98058252427184,22.77397260273973,13.227990970654627,32.786885245901644,17.05306543019062,7.200000000000002,76.89393939393938,0.0,0.0,62.111425111021404,32.20652115380132
Center Defensive Midfield,40367,Francesco Lodi,Udinese,230,1871,16.99029126213592,40.75342465753425,34.988713318284425,64.34426229508196,89.95363214837712,3.200000000000003,17.045454545454543,19.04761904761905,9.30232558139535,79.37020589422688,44.734453877446725
Center Defensive Midfield,40430,Giuseppe Vives,Torino,241,2624,39.80582524271845,50.171232876712324,63.7471783295711,22.54098360655738,23.544564657393092,65.20000000000002,56.43939393939392,14.285714285714285,6.976744186046512,52.28098506257569,44.81616646115454
Left Defensive Midfield,352172,Raffaele Bianco,Carpi,1683,1975,33.495145631067956,61.643835616438345,69.07449209932281,27.04918032786885,24.1112828438949,30.800000000000004,64.77272727272727,19.04761904761905,20.930232558139533,43.48001614856681,42.97200530362393
Left Defensive Midfield,3500,Granit Xhaka,Borussia Mönchengladbach,185,2580,25.242718446601938,42.97945205479452,26.86230248306998,21.721311475409838,70.6852138073158,33.599999999999994,76.51515151515152,47.61904761904762,0.0,40.59345983044005,36.62683686692106
Left Defensive Midfield,3545,Luiz Gustavo Dias,Wolfsburg,179,2028,19.417475728155335,29.794520547945208,33.86004514672686,10.245901639344263,13.704276146316339,20.400000000000006,54.166666666666664,19.04761904761905,9.30232558139535,32.075090835688336,24.837106722003885
Left Defensive Midfield,3570,Pierre-Emile Højbjerg,Schalke 04,181,1197,53.398058252427184,60.61643835616438,60.0,18.852459016393443,27.56311179804225,33.199999999999996,89.77272727272727,0.0,16.27906976744186,38.59507468712151,41.46542459561632
Right Defensive Midfield,5624,Albin Ekdal,Hamburger SV,171,1303,38.34951456310679,17.123287671232877,27.855530474040634,11.475409836065575,24.1112828438949,14.799999999999999,59.84848484848485,0.0,0.0,45.23617278966491,24.925276594356983
